epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17369,1.5604,1.32854,1.4793,0.92877,0.87748,0.9377,0.67415,1.44474,0.86249,1.36958,0.00226973,0.00226973,0.00226973
43,17732.8,1.56077,1.31882,1.48305,0.93374,0.87991,0.93885,0.67349,1.43749,0.84408,1.3604,0.00223316,0.00223316,0.00223316
44,18097.6,1.55099,1.30032,1.46939,0.93903,0.87822,0.93581,0.68446,1.39159,0.85233,1.3422,0.0021966,0.0021966,0.0021966
45,18466.6,1.54772,1.30715,1.47713,0.94065,0.88112,0.93676,0.68282,1.39692,0.82726,1.35,0.00216003,0.00216003,0.00216003
46,18832.2,1.52821,1.28951,1.46381,0.95469,0.8694,0.94335,0.6931,1.36047,0.80211,1.32544,0.00212347,0.00212347,0.00212347
47,19204.5,1.51626,1.25204,1.45357,0.9392,0.88361,0.93897,0.68865,1.36058,0.80743,1.33172,0.0020869,0.0020869,0.0020869
48,19569.8,1.50907,1.2529,1.45184,0.92043,0.88579,0.93671,0.68109,1.41558,0.82847,1.35041,0.00205034,0.00205034,0.00205034
49,19937.4,1.5072,1.24861,1.45414,0.9369,0.88026,0.94258,0.68695,1.36672,0.81601,1.334,0.00201377,0.00201377,0.00201377
50,20345.4,1.51538,1.23931,1.44937,0.94618,0.8801,0.94424,0.69584,1.34888,0.78416,1.31198,0.00197721,0.00197721,0.00197721
51,20867.2,1.49316,1.20883,1.43543,0.9339,0.89093,0.94266,0.70003,1.33779,0.79411,1.31395,0.00194064,0.00194064,0.00194064
52,21383.5,1.50323,1.22433,1.44071,0.95129,0.88932,0.9469,0.70497,1.3326,0.75914,1.29687,0.00190408,0.00190408,0.00190408
53,21836,1.4846,1.19587,1.42699,0.94809,0.89254,0.95017,0.70663,1.3354,0.74699,1.29152,0.00186751,0.00186751,0.00186751
